LOGRADOURO;BAIRRO;CEP;
Rua 1501;Tràs Rios do Sul;Jaragu† do Sul, SC;89254-262
(Loteamento Montpellier);;;
Servid∆o 151;Vila Nova;Jaragu† do Sul, SC;89259-038
Servid∆o 153;Rio Cerro II;Jaragu† do Sul, SC;89261-605
Servid∆o 154;Ilha da Figueira;Jaragu† do Sul, SC;89258-477
Servid∆o 155;Barra do Rio Molha;Jaragu† do Sul, SC;89259-661
Servid∆o 158;S∆o Lu°s;Jaragu† do Sul, SC;89253-501
Servid∆o 16;Barra do Rio Cerro;Jaragu† do Sul, SC;89260-472
Servid∆o 161;Jaragu† Esquerdo;Jaragu† do Sul, SC;89253-407
Servid∆o 165;Vila Nova;Jaragu† do Sul, SC;89259-114
Servid∆o 166;Barra do Rio Molha;Jaragu† do Sul, SC;89259-754
Servid∆o 167;Ilha da Figueira;Jaragu† do Sul, SC;89258-142
Servid∆o 168;µgua Verde;Jaragu† do Sul, SC;89254-567
Servid∆o 17;Barra do Rio Cerro;Jaragu† do Sul, SC;89260-169
Servid∆o 171;Centen†rio;Jaragu† do Sul, SC;89256-722
Servid∆o 172;Vieira;Jaragu† do Sul, SC;89257-206
Servid∆o 175;Barra do Rio Molha;Jaragu† do Sul, SC;89259-798
Servid∆o 18;Centro;Jaragu† do Sul, SC;89251-801
Servid∆o 188;Amizade;Jaragu† do Sul, SC;89255-572
Servid∆o 194;Vila Baependi;Jaragu† do Sul, SC;89256-112
Servid∆o 196;Amizade;Jaragu† do Sul, SC;89255-831
Servid∆o 197;Czerniewicz;Jaragu† do Sul, SC;89255-172
Servid∆o 200;Barra do Rio Molha;Jaragu† do Sul, SC;89259-763
Servid∆o 203;Barra do Rio Cerro;Jaragu† do Sul, SC;89260-532
Servid∆o 206;Jaragu† Esquerdo;Jaragu† do Sul, SC;89253-335
Servid∆o 207;Centro;Jaragu† do Sul, SC;89251-278
Servid∆o 208;Ilha da Figueira;Jaragu† do Sul, SC;89258-031
Servid∆o 209;Barra do Rio Molha;Jaragu† do Sul, SC;89259-644
Rua 21 de Abril;Jo∆o Pessoa;Jaragu† do Sul, SC;89257-635
Servid∆o 211;Ilha da Figueira;Jaragu† do Sul, SC;89258-508
Servid∆o 212;Vieira;Jaragu† do Sul, SC;89257-082
Servid∆o 214;Centro;Jaragu† do Sul, SC;89251-308
Servid∆o 215;Vila Lalau;Jaragu† do Sul, SC;89256-238
Servid∆o 216;Tràs Rios do Norte;Jaragu† do Sul, SC;89266-461
